May 19, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 20, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 21, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 22, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 23, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 25, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 26, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 27, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 28, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
May 29, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
May 30, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 01, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 02, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 03, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 04, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 05, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 06, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 08, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 09, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 10, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 11, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 12, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 13, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 15, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 16, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 17, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 18, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 19, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 20, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 22, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 23, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 24, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 25, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 26, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 27, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
June 29, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
June 30, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 01, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 02, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 03, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 04, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 06, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 07, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 08, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 09, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 10, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 11, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 13, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 14, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 15, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 16, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 17, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 18, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 20, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 21, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 22, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 23, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 24, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 25, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 27, Tuesday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 28, Wednesday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 29, Thursday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
July 30, Friday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
July 31, Saturday, Morning: Clean Downstairs, Re-Prop Downstairs, Evening: Pull Upstairs
August 01, Sunday, Morning: Clean Upstairs, Re-Prop Upstairs, Evening: Pull Downstairs
